0,true,prediction by hmm,prediction with our model,sentence
1150,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","['though', 'there', 'has', 'been', 'a', 'change', 'of', 'prime', 'minister', 'and', 'of', 'the', 'secretary', 'of', 'state', 'for', 'the', 'environment', 'since', 'the', 'publication', 'of', 'the', 'white', 'paper', ',', 'the', 'environmental', 'cause', 'seems', 'as', 'strong', 'as', 'ever', '.']"
1151,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","['what', 'did', 'they', 'eat', ',', 'for', 'example', '?']"
1152,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['these', 'days', ',', 'he', 'writes', 'the', 'books', 'intended', 'to', 'help', 'children', 'learn', 'to', 'read', '.']"
1153,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['priority', 'in', 'the', 'igbp', 'is', 'intended', 'to', 'be', 'given', 'to', 'those', 'areas', 'which', 'deal', 'with', 'key', 'interactions', 'and', 'significant', 'changes', 'on', 'the', 'time-scales', 'of', 'decades', 'to', 'centuries', ',', 'that', 'most', 'affect', 'the', 'biosphere', ',', 'that', 'are', 'most', 'susceptible', 'to', 'human', 'perturbations', 'and', 'those', 'that', 'will', 'most', 'likely', 'lead', 'to', 'a', 'practical', ',', 'predictive', 'capability', 'for', 'global', 'change', '.']"
1154,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","['characteristically', ',', 'the', 'data', 'used', 'may', 'be', 'more', 'difficult', 'to', 'obtain', 'and', 'are', 'usually', 'more', 'spatially', 'aggregated', ';', 'modelling', 'software', 'which', 'permits', 'feedback', 'loops', 'is', 'essential', ';']"
1155,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['brian', 'said', ',', 'we', ""'ll"", 'make', 'it', 'tomorrow', 'night', ',', 'eight', 'to', 'eight', 'thirty', '.']"
1156,"[0, 0, 0, 1, 0]","[0, 0, 0, 1, 0]","[0, 0, 0, 0, 0]","['yes', 'well', 'you', 'see', '?']"
1157,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","['i', 'do', ""n't"", 'want', 'to', 'go', 'back', 'to', 'mrs', 'gutermann', ""'s"", '.']"
1158,"[0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","['a', 'fourth', 'approach', ',', 'adopted', 'by', 'english', 'law', 'until', '1957', 'and', 'still', 'in', 'force', 'in', 'many', 'american', 'jurisdictions', ',', 'is', 'some', 'form', 'of', 'felony-murder', 'rule', ':', 'anyone', 'who', 'kills', 'during', 'the', 'course', 'of', 'a', 'felony', '(', 'or', ',', 'more', 'restrictively', ',', 'a', 'serious', 'crime', 'of', 'violence', ')', 'or', 'whilst', 'resisting', 'arrest', 'should', 'be', 'convicted', 'of', 'murder', '.']"
1159,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0]","['the', 'leaf', 'is', 'excellently', 'preserved', 'on', 'the', 'flat', 'bedding-plane', 'of', 'a', 'limestone', 'laid', 'down', 'under', 'fresh', 'water', '.']"
1160,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]","['my', 'argument', 'was', 'that', ',', 'as', 'michael', 'heseltine', 'had', 'so', 'boldly', 'listed', 'battersea', 'power', 'station', 'in', '1980', ',', 'it', 'was', 'illogical', 'not', 'to', 'protect', 'a', 'much', 'finer', 'and', 'more', 'complete', 'industrial', 'work', 'by', 'the', 'same', 'architect', '.']"
1161,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]","['and', 'when', 'i', 'see', 'these', 'people', 'in', 'nursing', 'homes', 'all', 'sat', 'round', 'a', 'wall', 'in', 'chairs', 'oh', 'god', '!']"
1162,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]","['small', 'but', 'perfectly', 'formed', 'for', 'pub', 'rocking', '(', 'ie', 'sweaty', 'and', 'restricted', 'view', 'from', 'all', 'but', 'the', 'front', 'three', 'rows', ')', '.']"
1163,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0]","[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0]","['mcleish', 'thanked', 'him', 'gravely', ',', 'feeling', ',', 'as', 'he', 'often', 'did', 'with', 'the', 'wilsons', ',', 'that', 'he', 'was', 'being', 'enveloped', 'in', 'a', 'large', 'feather', 'eiderdown', ',', 'and', ',', 'made', 'restless', 'by', 'the', 'call', ',', 'went', 'down', 'the', 'corridor', 'to', 'where', 'he', 'knew', 'catherine', 'crane', 'was', 'also', 'in', ',', 'getting', 'her', 'office', 'in', 'order', '.']"
1164,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]","['the', 'urgency', 'of', 'the', 'events', 'following', 'balfour', ""'s"", 'resignation', 'was', 'due', 'to', 'the', 'need', 'to', 'find', 'a', 'new', 'leader', 'before', 'the', 'national', 'union', 'conference', '.']"
1165,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","['president', 'truman', 'did', 'so', 'in', 'a', 'campaign', 'which', 'no-one', 'expected', 'him', 'to', 'win', ',', 'and', 'he', 'won', '.']"
1166,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]","['muldoon', 'never', 'emerged', 'from', 'behind', 'his', 'desk', 'to', 'greet', 'colleagues', '.']"
1167,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]","['the', 'research', 'project', 'will', 'employ', 'plume', 'dispersion', 'models', 'in', 'order', 'to', 'model', 'dispersal', 'by', 'wind', 'and', 'will', 'need', 'to', 'integrate', 'this', 'and', 'other', 'environmental', 'data', 'with', 'detailed', 'demographic', 'records', '.']"
1168,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","['do', ""n't"", 'you', 'think', 'so', '?']"
1169,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]","['one', 'example', 'of', 'an', 'hypothesis', 'which', 'has', 'been', 'given', 'serious', 'attention', 'in', 'recent', 'years', 'is', 'the', 'possible', 'link', 'between', 'electromagnetic', 'fields', 'generated', 'by', 'high-voltage', 'power', 'lines', 'or', 'supply', 'cables', 'and', 'ill', 'health', '.']"
1170,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","['michael', 'heseltine', '(', '1987', ',', 'p.', '138', ')', 'has', 'since', 'claimed', 'that', 'we', 'set', 'a', 'new', 'objective', ':', 'to', 'make', 'the', 'inner', 'cities', 'places', 'where', 'people', 'would', 'want', 'to', 'live', 'and', 'work', 'and', 'where', 'the', 'private', 'investor', 'would', 'be', 'willing', 'to', 'put', 'his', 'money', '.']"
1171,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0]","['the', 'secret', 'of', 'a', 'successful', 'outcome', 'depends', 'partly', 'on', 'setting', 'the', 'right', 'reserve', 'price', ',', 'a', 'task', 'the', 'auctioneer', 'undertakes', 'in', 'conjunction', 'with', 'the', 'seller', '.']"
1172,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","['come', 'and', 'clean', 'my', 'windows', 'and', 'i', 'owed', 'him', 'from', 'the', 'last', 'time', '.']"
1173,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","['and', 'is', 'there', 'anything', 'there', ',', 'i', 'mean', 'can', 'you', 'dry', 'your', 'clothes', 'out', 'there', 'at', 'all', '?']"
1174,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]","['he', 'looked', ',', 'in', 'this', 'setting', ',', 'a', 'little', 'like', 'some', 'painter', '.']"
1175,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['take', 'what', 'you', 'want', 'and', 'leave', 'the', 'rest', ',', 'your', 'mother', ""'ll"", 'get', 'rid', 'of', 'it', '.']"
1176,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","['daniel', 'asked', ',', 'for', 'politeness', 'really', ',', 'why', 'van', 'gogh', 'had', 'been', 'mad', ',', 'was', 'it', 'just', 'that', 'he', 'was', 'driven', '?']"
1177,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","['their', 'fossil', 'remains', 'seem', 'to', 'occur', 'with', 'other', 'animals', 'and', 'plants', ',', 'which', 'are', 'generally', 'accepted', 'as', 'terrestrial', '.']"
1178,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0]","[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","['as', 'the', 'rallye', 'droned', 'towards', 'the', 'lighthouse', 'on', 'the', 'tip', 'of', 'cap', 'camerat', ',', 'miranda', 'felt', 'as', 'if', 'she', 'were', 'breathing', 'the', 'air', 'of', 'the', 'gods', '.']"
1179,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","['the', 'other', 'conclusion', '(', 'as', 'far', 'as', 'it', 'is', 'permissible', 'to', 'generalize', 'from', 'a', 'single', 'example', ')', 'is', 'more', 'important', 'in', 'principle', '.']"
1180,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['looking', 'at', 'those', 'lists', 'provides', 'interesting', 'reading', 'and', 'bears', 'out', 'the', 'used-car', 'trade', ""'s"", 'view', 'that', 'having', 'a', 'lead-only', 'car', 'could', 'prove', 'to', 'be', 'a', 'liability', '.']"
1181,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","['when', 'i', 'was', ""n't"", 'excited']"
1182,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]","[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]","['in', '1914', 'a', 'register', 'of', 'car', 'owners', 'was', 'compiled', ',', 'also', 'important', 'when', 'some', 'voters', 'could', 'cast', 'several', 'votes', 'in', 'an', 'election', 'when', 'polling', 'went', 'several', 'days', '.']"
1183,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]","['the', 'need', 'to', 'know', 'criterion', 'is', 'crucial', 'because', 'unless', 'it', 'is', 'applied', ',', 'the', 'operator', 'can', 'be', 'overburdened', 'with', 'unnecessary', 'material', '.']"
1184,"[0, 1, 1, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]","['the', 'hole', 'in', 'the', 'head', ',', 'ai', ""n't"", 'you', '?']"
1185,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['mike', 'stared', 'at', 'his', 'brother', ',', 'then', 'slowly', 'said', ',', 'not', 'me', '.']"
1186,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['the', 'trade', 'union', 'question', 'would', 'cease', 'to', 'haunt', 'the', 'labour', 'party', 'and', 'while', 'that', 'might', 'upset', 'some', 'conservatives', 'it', 'would', 'be', 'good', 'for', 'the', 'country', '.']"
1187,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","['beyond', 'that', 'worst', 'happening', 'you', 'think', 'there', 'can', 'be', 'nothing', ',', 'the', 'unimaginable', 'has', 'taken', 'place', ',', 'and', 'on', 'the', 'other', 'side', 'is', 'death', ',', 'destruction', ',', 'the', 'end', '.']"
1188,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['you', ""'re"", 'gon', 'na', 'kill', 'somebody', 'one', 'day', 'you', 'know', 'using', 'that', '!']"
1189,"[0, 1, 1, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0]","['earnings', 'crashed', 'by', 'a', 'third', 'to', '41p', '.']"
1190,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0]","['if', 'you', 'are', 'thinking', 'of', 'letting', 'your', 'property', ',', 'the', 'following', 'points', 'will', 'help', 'to', 'safeguard', 'your', 'interests', ':']"
1191,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]","['this', 'is', 'a', 'typical', 'coal', 'shale', ';', 'shales', 'and', 'silts', 'occurring', 'between', 'productive', 'coal', 'seams', 'often', 'contain', 'impressions', 'of', 'the', 'plants', 'that', 'went', 'to', 'form', 'the', 'coal', '.']"
1192,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0]","['workers', 'from', 'the', 'integrated', 'playscheme', 'subsequently', 'supported', 'a', 'local', 'special', 'school', 'in', 'integrating', 'under', 'fives', 'into', 'a', 'playgroup', '.']"
1193,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]","['similarly', 'the', 'spread', 'of', 'violence', 'in', 'london', 'to', 'areas', 'such', 'as', 'the', 'broadwater', 'farm', 'estate', 'in', 'tottenham', 'was', 'seen', 'as', 'a', 'break', 'from', 'previous', 'experience', ',', 'which', 'had', 'centred', 'on', 'areas', 'such', 'as', 'brixton', '.']"
